"Battery","Asset Name","Asset ID","Asset Type","Asset Group","Product Code","Trip State","Dwell Time (Days)","GPS Time","Last Event","Location Name","Location Arrival Time","Locations Inside (All)","Address","City","State","Zip Code","Regions","Zones","Lat/Long","Asset VIN","Asset Tags","Make","IMEI ID","Install Status","Install Date","Installer","Total Mileage","External Voltage 1","Battery Voltage","Sensors","Unhealthy Sensors","Sensor Issues","Detention State","Drive State"
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7321694","7321694","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","On Trip","","01/10/2023 07:15 AM","Location Update","","","","I 40;I 85","Mebane","NC","27258","SE Region","","36.06569, -79.31867","5V8VC5321EM407345","","Vanguard national trailer corporation (vntc)","015115004912969","Installed","06/01/2022","Tom Habina","63209.7","14.1","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7328497","7328497","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","On Trip","","01/10/2023 07:15 AM","Location Update","","","","Capital Beltway (Express)","Alexandria","VA","22332","","","38.79842, -77.06963","3H3V532KXPS074135","","","015115006709892","Installed","","","15821.4","14.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7328498","7328498","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.3","01/10/2023 07:15 AM","Location Update","","","","","Rawlins","WY","82301","","","41.77857, -107.31112","3H3V532K1PS074136","","","015115004908769","Installed","","","22632.7","14.2","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7328522","7328522","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","On Trip","","01/10/2023 07:14 AM","Location Update","","","","I 40","Cuervo","NM","","","","35.06371, -104.28720","3H3V532K9PS074160","","","015115006661697","Installed","","","14717.9","14.2","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328494","7328494","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","6.7","01/10/2023 07:14 AM","Location Update","","","","7th Street","Secaucus","NJ","07096","","","40.76886, -74.05940","3H3V532K4PS074132","","","015115004635099","Installed","","","12119.6","0.0","4.1","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328394","7328394","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.4","01/10/2023 07:13 AM","Location Update","","","","698 Hollister Road","Teterboro","NJ","07608","","","40.86355, -74.05753","3H3V532K0PS074032","","","015115006699960","Installed","","","34701.2","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7328390","7328390","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","On Trip","","01/10/2023 07:13 AM","Location Update","","","","I 10","Mesa Verde","CA","","","","33.60901, -114.73945","3H3V532K9PS074028","","","015115004743836","Installed","","","63787.2","13.9","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328518","7328518","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","3.1","01/10/2023 07:11 AM","Location Update","","","","3111 Elam Farms Parkway","Murfreesboro","TN","37127","","","35.79215, -86.36634","3H3V532K7PS074156","","","015115006385867","Installed","","","5059.5","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328489","7328489","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.7","01/10/2023 07:11 AM","Location Update","","","","","White Township","PA","15107","","","40.59313, -79.19460","3H3V532K0PS074127","","","015115004900287","Installed","","","10514.0","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328398","7328398","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","3.7","01/10/2023 07:01 AM","Location Update","","","","I 75;US 23","Flint","MI","48553","","","42.97910, -83.72846","3H3V532K8PS074036","","","015115006707706","Installed","","","34704.7","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328485","7328485","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","1.1","01/10/2023 06:54 AM","Location Update","","","","Valley View Lane","Irving","TX","75261","","","32.86629, -97.01805","3H3V532K3PS074123","","","015115006306905","Installed","","","24065.8","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-charging-blue.png"">","7328397","7328397","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","0.3","01/10/2023 06:50 AM","Location Update","","","","North Sacramento Beltline Freeway","Sacramento","CA","95605","","","38.61766, -121.53723","3H3V532K6PS074035","","","015115006370158","Installed","","","40914.7","14.1","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328517","7328517","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","3.4","01/10/2023 06:35 AM","Heartbeat","","","","18060 East 22nd Avenue","Aurora","CO","80011","","","39.74806, -104.77688","3H3V532K5PS074155","","","015115004907399","Installed","","","13543.3","0.0","4.2","","","","",""
"<img width=32 src=""/assets/icons/battery/battery-full-light-green.png"">","7328395","7328395","Trailer","Borderlanders Inc.","TrailerNet (77-6700)","Parked","21.8","01/10/2023 06:25 AM","Location Update","","","","333 Caperton Boulevard","Bessemer","WV","25403","","","39.51720, -77.95710","3H3V532K2PS074033","","","015115006706591","Installed","","","27346.6","0.0","4.1","","","","",""
