"Trailer Code","Account (Cust. Code)","Trailer Status","Year","Make","Description","Door","Suspension","Wall","GPS Equipped","Contract","Lease Start Date","Lease PO","Location","Lease Code","Billing Cycle","Lease Rate","Mileage Rate","Hours Rate","Mileage Estimate","Hours Estimate","Maintenance Code","Lease Expires","License State","License Number","Length","Last PM Date","Next PM Date","GPS Provider","GPS Last Updated","GPS Latitude","GPS Longitude","GPS Location","GPS Motion Status"
"1234131PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2012","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","05-07-2021","","","16688","MONTHLY","407.88000","","","15242.000","","","04-07-2023","ME","2337573","53","05-07-2021","09-21-2048","RoadReady","01/10/2023 11:00:40","32.619646","-97.26368200000002","4049 Rendon Rd, Fort Worth, TX 76140, USA","Stopped"
"1234183PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2012","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","04-05-2021","","","16682","MONTHLY","407.88000","","","115984.000","","","03-05-2023","ME","2337710","53","02-01-2021","06-18-2048","RoadReady","01/10/2023 11:01:01","43.02863200000001","-71.15602","42 Freetown Rd, Raymond, NH 03077, USA","Stopped"
"1234186PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2012","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Rental","11-01-2022","","","3885","MONTHLY","426.29000","","","0.000","","","12-25-2022","ME","2337713","53","04-12-2022","08-27-2049","RoadReady","01/10/2023 11:00:31","42.925765","-114.940903","680 US-30, Bliss, ID 83314, USA","Stopped"
"1234224PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2012","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","01-19-2021","","","15820","MONTHLY","426.29000","","","48467.000","","","01-19-2023","ME","2337761","53","04-28-2022","09-12-2049","RoadReady","01/10/2023 11:00:31","34.115886","-83.774442","625 Braselton Pkwy, Braselton, GA 30517, USA","Stopped"
"1234268PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2012","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","05-04-2021","","","16687","MONTHLY","407.88000","","","264077.000","","","04-04-2023","ME","2337815","53","08-09-2022","12-24-2049","RoadReady","01/10/2023 11:00:31","32.619329","-97.265096","4049 Rendon Rd, Fort Worth, TX 76140, USA","Stopped"
"1334655PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2013","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","03-19-2021","","","16680","MONTHLY","407.88000","","","120989.000","","","03-19-2023","ME","2435061","53","03-12-2021","07-27-2048","RoadReady","01/10/2023 11:00:40","36.105393","-80.034208","I-40BUS, Colfax, NC 27235, USA","Stopped"
"1334821PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2013","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","05-04-2021","","","16686","MONTHLY","407.88000","","","39905.000","","","04-04-2023","ME","2435727","53","02-23-2021","07-10-2048","RoadReady","01/10/2023 11:00:40","39.738421","-75.398936","I-295, Pedricktown, NJ 08067, USA","Stopped"
"1334878PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2013","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Rental","11-01-2022","","","2786","MONTHLY","426.29000","","","0.000","","","12-25-2022","ME","2435801","53","10-12-2021","02-26-2049","RoadReady","01/10/2023 11:00:40","33.779993","-84.53620500000001","700 Lee Industrial Blvd, Austell, GA 30168, USA","Stopped"
"1335762PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2013","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","11-20-2020","","","15819","MONTHLY","426.29000","","","","","","11-20-2022","ME","2540125","53","11-12-2020","03-29-2048","RoadReady","01/10/2023 11:00:31","33.856975","-117.913168","590 E Orangethorpe Ave, Anaheim, CA 92801, USA","Stopped"
"1435574PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2014","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","08-01-2022","","","17641","MONTHLY","400.84000","","","1.000","","","06-01-2023","ME","2542366","53","04-14-2022","08-29-2049","RoadReady","01/10/2023 11:00:31","38.117838","-87.557465","15200 US Hwy 41, Evansville, IN 47725, USA","Stopped"
"1435982PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2014","WABASH NATIONAL CORP.","53 VAN","Swing Door","Air Ride","Steel","GPS","Rental","11-01-2022","","","3883","MONTHLY","426.29000","","","0.000","","","12-25-2022","ME","3311722","53","10-28-2020","03-14-2048","RoadReady","01/10/2023 11:00:40","32.661423","-96.707752","1101 E Cleveland St, Hutchins, TX 75141, USA","Stopped"
"1435983PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2014","WABASH NATIONAL CORP.","53 VAN","Swing Door","Air Ride","Steel","GPS","Rental","11-01-2022","","","3882","MONTHLY","426.29000","","","195388.000","","","12-25-2022","ME","3311723","53","07-13-2022","11-27-2049","RoadReady","01/10/2023 11:00:31","39.773568","-104.77528500000001","17901 E 40th Ave, Aurora, CO 80011, USA","Stopped"
"1435992PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2014","WABASH NATIONAL CORP.","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","08-01-2022","","","17638","MONTHLY","400.84000","","","1.000","","","06-01-2023","ME","3311732","53","05-09-2022","09-23-2049","RoadReady","01/10/2023 11:00:55","34.007462","-84.60212","1675 Airport Rd, Kennesaw, GA 30144, USA","Stopped"
"1435998PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2014","WABASH NATIONAL CORP.","53 VAN","Swing Door","Air Ride","Steel","GPS","Rental","11-01-2022","","","3884","MONTHLY","426.29000","","","0.000","","","12-25-2022","ME","3311738","53","08-19-2022","01-03-2050","RoadReady","01/10/2023 11:00:41","45.556071","-122.40706500000002","NW Swigert Way, Troutdale, OR 97060, USA","Stopped"
"1436005PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2014","WABASH NATIONAL CORP.","53 VAN","Swing Door","Air Ride","Steel","GPS","Lease","08-01-2022","","","17637","MONTHLY","400.84000","","","1.000","","","06-01-2023","ME","3311745","53","04-18-2022","09-02-2049","RoadReady","01/10/2023 11:00:31","39.345152","-84.227527","537 Grandin Rd, Maineville, OH 45039, USA","Stopped"
"1536520PLA","CARGOPRIME CORPORATION (001-10000264-000)","On-Contract","2015","VANGUARD","53 VAN","Swing Door","Air Ride","Steel","GPS","Rental","11-01-2022","","","2787","MONTHLY","426.29000","","","2.000","","","12-25-2022","ME","3414284","53","09-24-2020","02-09-2048","RoadReady","01/10/2023 11:00:40","33.743002","-117.289491","21220 Ethanac Rd, Perris, CA 92570, USA","Stopped"
