"Asset ID","Group","Status","Duration","Duration In Hours","Location","Last Event Date","Cargo Status"
"2237",,"Stopped","18h 20m","18","Liberty, MO 64068 2313 Campbell Dr","11/29/2022 12:22 PM","--"
"2240",,"Stopped","7h 26m","7","McCalla, AL 35111 Springdale Dr","11/30/2022 04:00 AM","--"
"2238",,"Stopped","15h 11m","15","Stockton, CA 95206 4675 S Airport Way","11/29/2022 03:34 PM","--"
"2244",,"Stopped","3d 6h 43m","79","Greenfield, IN 46140 4440 300N","11/30/2022 12:02 AM","--"
"2243",,"Stopped","2d 20h 44m","69","West Columbia, SC 29172 4438 12th St Exd","11/29/2022 12:21 PM","--"
"2241",,"Moving","2h 55m","3","Boonville, MO 65233 I- 70","11/30/2022 06:36 AM","--"
"2245",,"Stopped","5h 10m","5","Odessa, MO 64076 Outer Rd","11/30/2022 01:37 AM","--"
"2236",,"Stopped","1d 14h 13m","38","Gallatin, TN 37066 198 Harris Ln","11/29/2022 10:26 PM","--"
"2242",,"Moving","32m","1","Joliet, IL 60436 2414 S Chicago St","11/30/2022 06:40 AM","--"
"2239",,"Stopped","20d 3h 39m","484","Henderson, NV 89044 Executive Airport Dr","11/30/2022 03:06 AM","--"
