Owner,Vehicle Type,Vehicle Number,Vehicle Status,Facility,Location,Load,Yard Dwell Time,Location Dwell Time
BIDH,Trailer,7322641,Not empty,HIN1,PS207,,"938 day(s), 13 hour(s), 48 minute(s)","899 day(s), 3 hour(s), 60 minute(s)"
BIDH,Trailer,193145PLA,Empty,LGA9,IN_TRANSIT_LOCATION,,"819 day(s), 1 hour(s), 28 minute(s)","819 day(s), 23 hour(s), 12 minute(s)"
OTHR,Tractor,2751243,Not empty,MKEA,IN_TRANSIT_LOCATION,VR_ID 116SX447V,"570 day(s), 23 hour(s), 59 minute(s)","570 day(s), 20 hour(s), 47 minute(s)"
MKYM,Trailer,535138,Not empty,DFWA,DD225,,"406 day(s), 17 hour(s), 50 minute(s)","267 day(s), 9 hour(s), 17 minute(s)"
BIDH,Trailer,PTLZ201092,Empty,BOI2,IN_TRANSIT_LOCATION,,"182 day(s), 18 hour(s), 18 minute(s)","182 day(s), 16 hour(s), 28 minute(s)"
BIDH,Skirted Trailer,LR165784,Empty,HBF5,IN_TRANSIT_LOCATION,,"177 day(s), 15 hour(s), 22 minute(s)","151 day(s), 17 hour(s), 41 minute(s)"
BIDH,Trailer,2335227PLA,Empty,ONTB,IN_TRANSIT_LOCATION,,"167 day(s), 6 hour(s), 22 minute(s)","158 day(s), 23 hour(s), 10 minute(s)"
BIDH,Skirted Trailer,7322473,Empty,OAKB,IN_TRANSIT_LOCATION,,"140 day(s), 15 hour(s), 1 minute(s)","138 day(s), 11 hour(s), 39 minute(s)"
BIDH,Skirted Trailer,W84725,Empty,CAEA,IN_TRANSIT_LOCATION,,"69 day(s), 6 hour(s), 40 minute(s)","69 day(s), 16 hour(s), 39 minute(s)"
BIDH,Trailer,5193252,Empty,HAT2,ATL8 OSY,,"32 day(s), 12 hour(s), 3 minute(s)","28 day(s), 16 hour(s), 9 minute(s)"
BIDH,Trailer,7322743,Empty,FAT1,PS393,,"29 day(s), 2 hour(s), 50 minute(s)","13 day(s), 12 hour(s), 29 minute(s)"
BIDH,Skirted Trailer,W24559,Empty,DEN4,PS725,,"23 day(s), 20 hour(s), 36 minute(s)","20 day(s), 10 hour(s), 37 minute(s)"
BIDH,Trailer,7327622,Not empty,WMO1,Temp,,"22 day(s), 8 hour(s), 48 minute(s)","22 day(s), 6 hour(s), 8 minute(s)"
BIDH,Skirted Trailer,532326,Empty,FAT1,PS314,,"22 day(s), 4 hour(s), 17 minute(s)","22 day(s), 12 hour(s), 4 minute(s)"
BIDH,Trailer,1536548pla,Empty,MKC6,WS138,VR_ID 115PG99NP,"18 day(s), 11 hour(s), 31 minute(s)","18 day(s), 4 hour(s), 29 minute(s)"
BIDH,Skirted Trailer,781579,Empty,AZAA,PS634,,"17 day(s), 2 hour(s), 44 minute(s)","17 day(s), 20 hour(s), 55 minute(s)"
BIDH,Skirted Trailer,7321710,Empty,ONT8,North Patterson,,"15 day(s), 19 hour(s), 16 minute(s)","15 day(s), 19 hour(s), 16 minute(s)"
BIDH,Trailer,28853,Empty,HAT2,ATL8 OSY,,"14 day(s), 3 hour(s), 58 minute(s)","13 day(s), 19 hour(s), 52 minute(s)"
BIDH,Trailer,28853,Empty,ATLC,PS327,,"14 day(s), 17 hour(s), 49 minute(s)","1 day(s), 15 hour(s), 52 minute(s)"
BIDH,Trailer,7322799,Empty,FTW6,PS575B,,"14 day(s), 16 hour(s), 50 minute(s)","2 day(s), 20 hour(s), 48 minute(s)"
BIDH,Skirted Trailer,2245,Not empty,MDT2,DD145,,"14 day(s), 13 hour(s), 9 minute(s)","14 day(s), 13 hour(s), 9 minute(s)"
BIDH,Trailer,0010,Empty,HAT2,ATL8 OSY,,"11 day(s), 22 hour(s), 20 minute(s)","10 day(s), 3 hour(s), 33 minute(s)"
BIDH,Trailer,906020,Empty,HSFA,PS46,,"11 day(s), 19 hour(s), 15 minute(s)","8 day(s), 6 hour(s), 56 minute(s)"
BIDH,Skirted Trailer,1637752PLA,Empty,HAT2,PSY-PS022,,"10 day(s), 8 hour(s), 8 minute(s)","6 day(s), 19 hour(s), 13 minute(s)"
BIDH,Trailer,KR210002,Empty,AVPA,PS305-PROBLEM SOLVE,,"10 day(s), 1 hour(s), 34 minute(s)","10 day(s), 1 hour(s), 34 minute(s)"
BIDH,Trailer,PTLZ203030,Empty,LGB8,Windflower Offsite,,"10 day(s), 12 hour(s), 14 minute(s)","1 day(s), 20 hour(s), 22 minute(s)"
BIDH,Trailer,P5210124,Empty,FTW6,PS575A,,"8 day(s), 12 hour(s), 46 minute(s)","2 day(s), 16 hour(s), 15 minute(s)"
BIDH,Trailer,P5200177,Empty,BDLA,PS455,,"8 day(s), 10 hour(s), 5 minute(s)","5 day(s), 10 hour(s), 57 minute(s)"
BIDH,Trailer,PTLZ201181,Empty,HLA6,DD329,,"8 day(s), 20 hour(s), 23 minute(s)","6 day(s), 9 hour(s), 51 minute(s)"
BIDH,Trailer,2032778PLA,Empty,ATL6,548,,"8 day(s), 18 hour(s), 19 minute(s)","7 day(s), 1 hour(s), 17 minute(s)"
BIDH,Trailer,PTLZ202957,Not empty,AUS3,PS678,"VR_ID 1129K5LPH
ISA 66433009973","7 day(s), 23 hour(s), 4 minute(s)","7 day(s), 23 hour(s), 4 minute(s)"
BIDH,Trailer,7328519,Empty,STL3,PS728,,"7 day(s), 16 hour(s), 54 minute(s)","7 day(s), 16 hour(s), 54 minute(s)"
BIDH,Trailer,1830578PLA,Empty,SAT4,PS1016,,"6 day(s), 10 hour(s), 23 minute(s)","6 day(s), 10 hour(s), 23 minute(s)"
BIDH,Trailer,7327753,Empty,SAT4,PS1014,,"6 day(s), 7 hour(s), 36 minute(s)","6 day(s), 7 hour(s), 36 minute(s)"
BIDH,Trailer,7328655,Empty,LGB6,PS647,,"6 day(s), 6 hour(s), 35 minute(s)","5 day(s), 5 hour(s), 22 minute(s)"
BIDH,Trailer,003549,Empty,AUS5,PS537,,"6 day(s), 4 hour(s), 13 minute(s)","6 day(s), 21 hour(s), 4 minute(s)"
APAAG,Skirted Trailer,53118,Empty,HBF5,Offsite Yard,,"6 day(s), 24 minute(s)","6 day(s), 24 minute(s)"
BIDH,Trailer, 2336110PLA,Empty,HAT2,PSY-PS017,,"6 day(s), 17 hour(s), 20 minute(s)","3 day(s), 19 hour(s), 54 minute(s)"
BIDH,Trailer,1932279PLA,Empty,AVP9,WS303,,"6 day(s), 15 hour(s), 27 minute(s)","6 day(s), 15 hour(s), 27 minute(s)"
BIDH,Skirted Trailer,7323456,Empty,HLA6,PS615,,"6 day(s), 14 hour(s), 56 minute(s)","4 day(s), 11 hour(s), 59 minute(s)"
BIDH,Trailer,368400,Empty,AVP9,PS549,,"6 day(s), 12 hour(s), 7 minute(s)","3 day(s), 3 hour(s), 55 minute(s)"
BIDH,Skirted Trailer,W98379,Empty,AVP9,PS562,,"5 day(s), 11 hour(s), 50 minute(s)","5 day(s), 11 hour(s), 50 minute(s)"
BIDH,Skirted Trailer,532345,Empty,AUS3,PS916,,"5 day(s), 11 hour(s), 50 minute(s)","1 day(s), 16 hour(s), 42 minute(s)"
BIDH,Trailer,KR210239,Empty,SMF7,OSY-700CROCKER,,"5 day(s), 10 hour(s), 55 minute(s)","4 day(s), 14 hour(s), 14 minute(s)"
BIDH,Trailer,D53753,Empty,IND9,PS913,,"5 day(s), 21 hour(s), 35 minute(s)","5 hour(s), 29 minute(s)"
BIDH,Trailer,7326158,Empty,MQJ1,PS456,,"5 day(s), 21 hour(s), 31 minute(s)","4 day(s), 8 hour(s), 16 minute(s)"
BIDH,Trailer,569539,Empty,MCI9,PS611,,"5 day(s), 18 hour(s), 5 minute(s)","5 day(s), 18 hour(s), 5 minute(s)"
BIDH,Trailer,7323626,Empty,SDFA,LUK OF3,,"5 day(s), 18 hour(s), 1 minute(s)","4 day(s), 20 hour(s), 34 minute(s)"
BIDH,Trailer,7328660,Empty,AVP9,WS392,,"5 day(s), 12 hour(s), 4 minute(s)","4 day(s), 21 hour(s), 58 minute(s)"
BIDH,Trailer,7328521,Empty,RDU1,PS731,,"4 day(s), 10 hour(s), 2 minute(s)","4 day(s), 10 hour(s), 2 minute(s)"
AZNG,Skirted Trailer,V507553,Not empty,ATL2,PS605,"VR_ID 1129T8ZVH
ISA 7029562992","4 day(s), 10 hour(s), 31 minute(s)","4 day(s), 10 hour(s), 31 minute(s)"
BIDH,Trailer,243785,Empty,CMHA,PS223,,"4 day(s), 9 hour(s), 23 minute(s)","1 day(s), 22 hour(s), 38 minute(s)"
APAAG,Trailer,1932251PLA,Empty,HBF5,Offsite Yard,,"4 day(s), 8 hour(s), 25 minute(s)","4 day(s), 8 hour(s), 25 minute(s)"
BIDH,Trailer,1637556A,Empty,AZAB,PS616,,"4 day(s), 8 hour(s), 41 minute(s)","4 day(s), 18 hour(s), 7 minute(s)"
BIDH,Trailer,p5191612,Not empty,WMO1,Temp PS 001,,"4 day(s), 7 hour(s), 7 minute(s)","4 day(s), 6 hour(s), 12 minute(s)"
BIDH,Trailer,BL000136,Empty,FTW6,PS512A,,"4 day(s), 6 hour(s), 18 minute(s)","4 day(s), 6 hour(s), 18 minute(s)"
BIDH,Skirted Trailer,W85707,Empty,JAX7,PS620-3P Empty,,"4 day(s), 6 hour(s), 41 minute(s)","4 day(s), 6 hour(s), 41 minute(s)"
BIDH,Trailer,ptlz201094,Empty,RICB,PS431,,"4 day(s), 5 hour(s), 23 minute(s)","4 day(s), 5 hour(s), 23 minute(s)"
